"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","1971",4.548,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1972",4.548,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1973",4.512,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1974",5.114,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1975",5.761,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1976",5.778,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1977",6.078,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1978",5.94,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1979",5.83,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1980",5.831,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1981",5.841,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1982",6.107,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1983",6.054,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1984",6.025,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1985",6.077,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1986",6.275,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1987",6.111,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1988",6.066,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1989",6.118,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1990",6.479,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1991",6.776,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1992",6.841,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1993",6.857,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1994",6.889,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1995",6.935,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1996",7.074,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1997",7.088,
"AUS","HEALTHEXP","TOT","PC_GDP","A","1998",7.248,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","1999",7.334,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2000",7.617,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2001",7.699,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2002",7.897,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2003",7.912,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2004",8.118,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2005",7.996,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2006",8,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2007",8.078,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2008",8.268,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2009",8.577,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2010",8.445,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2011",8.557,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2012",8.689,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2013",8.774,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2014",9.055,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2015",9.33,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",9.252,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",9.133,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1971",39.973,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1972",43.282,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1973",47.777,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1974",66.546,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1975",64.43,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1976",67.541,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1977",66.733,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1978",80.745,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1979",87.65,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1980",99.025,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1981",103.694,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1982",99.196,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1983",114.914,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1984",116.175,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1985",129.291,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1986",137.426,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1987",145.164,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1988",163.029,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1989",175.387,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1990",195.842,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1991",215.468,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1992",233.454,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1993",248.012,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1994",265.868,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1995",261.985,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1996",293.723,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1997",309.105,
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1998",391.043,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","1999",392.698,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2000",451.8,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2001",463.707,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2002",483.353,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2003",487.363,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2004",528.377,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2005",558.282,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2006",597.582,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2007",607.295,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2008",630.31,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2009",678.821,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2010",713.106,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2011",727.421,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2012",758.561,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2013",824.1,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2014",841.082,"D"
"AUS","HEALTHEXP","OOPEXP","USD_CAP","A","2015",836.3,"D"
"AUT","HEALTHEXP","TOT","PC_GDP","A","1970",4.838,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1971",4.77,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1972",4.765,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1973",4.857,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1974",5.086,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1975",6.507,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1976",6.74,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1977",6.681,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1978",6.949,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1979",6.924,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1980",7.022,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1981",6.024,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1982",5.999,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1983",5.832,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1984",5.879,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1985",6.008,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1986",6.115,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1987",6.405,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1988",6.397,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1989",6.54,
"AUT","HEALTHEXP","TOT","PC_GDP","A","1990",7.718,"B"
"AUT","HEALTHEXP","TOT","PC_GDP","A","1991",7.782,
